season,week,display_week,week_label,rating_source,start_date,away_team,home_team,game_type,away_classification,home_classification,neutral_site,away_points,home_points,actual_home_margin,model_home_margin,model_home_spread,model_margin_std_dev,model_home_win_probability,market_home_spread,market_home_margin,model_margin_error,market_margin_error,absolute_model_error,absolute_market_error,winner_model_result,winner_market_result,model_edge_home_points,model_edge_side,edge_result,betting_status
2026,1,0,Week 0,current_retrospective,2026-08-29T16:00:00.000Z,North Carolina,TCU,FBS vs FBS,fbs,fbs,True,15,10,-5.0,2.31,-2.31,16.0,0.5574,-7.5,7.5,7.31,12.5,7.31,12.5,wrong,wrong,-5.19,North Carolina,right_side,Standard
2026,1,0,Week 0,current_retrospective,2026-08-29T19:00:00.000Z,San José State,USC,FBS vs FBS,fbs,fbs,False,26,42,16.0,24.9,-24.9,16.0,0.9402,-37.33,37.33,8.9,21.33,8.9,21.33,correct,correct,-12.43,San José State,right_side,Standard
2026,1,0,Week 0,current_retrospective,2026-08-29T19:30:00.000Z,NC State,Virginia,FBS vs FBS,fbs,fbs,False,8,34,26.0,6.44,-6.44,16.0,0.6563,-4.0,4.0,-19.56,-22.0,19.56,22.0,correct,correct,2.44,Virginia,right_side,Standard
2026,1,0,Week 0,current_retrospective,2026-08-29T21:30:00.000Z,Jacksonville State,North Dakota State,FBS vs FBS,fbs,fbs,False,7,33,26.0,12.48,-12.48,16.0,0.7823,-6.67,6.67,-13.52,-19.33,13.52,19.33,correct,correct,5.81,North Dakota State,right_side,Standard
2026,1,0,Week 0,current_retrospective,2026-08-29T22:30:00.000Z,Sacramento State,Eastern Michigan,FBS vs FBS,fbs,fbs,False,17,28,11.0,5.85,-5.85,16.0,0.6427,-9.0,9.0,-5.15,-2.0,5.15,2.0,correct,correct,-3.15,Sacramento State,wrong_side,Standard
2026,1,0,Week 0,current_retrospective,2026-08-29T23:00:00.000Z,Hawai'i,Stanford,FBS vs FBS,fbs,fbs,False,27,37,10.0,2.87,-2.87,16.0,0.5712,-4.67,4.67,-7.13,-5.33,7.13,5.33,correct,correct,-1.8,Hawai'i,wrong_side,Standard
2026,1,0,Week 0,current_retrospective,2026-08-29T23:00:00.000Z,New Mexico State,Florida State,FBS vs FBS,fbs,fbs,False,17,34,17.0,19.16,-19.16,16.0,0.8844,-31.0,31.0,2.16,14.0,2.16,14.0,correct,correct,-11.84,New Mexico State,right_side,Standard
2026,1,0,Week 0,current_retrospective,2026-08-30T02:00:00.000Z,Memphis,UNLV,FBS vs FBS,fbs,fbs,False,27,21,-6.0,-0.57,0.57,16.0,0.4858,-4.5,4.5,5.43,10.5,5.43,10.5,correct,wrong,-5.07,Memphis,right_side,Standard
2026,1,1,Week 1,current_retrospective,2026-09-03T22:00:00.000Z,Massachusetts,Rutgers,FBS vs FBS,fbs,fbs,False,37,21,-16.0,8.16,-8.16,16.0,0.695,-29.33,29.33,24.16,45.33,24.16,45.33,wrong,wrong,-21.17,Massachusetts,right_side,Review - extreme edge
2026,1,1,Week 1,current_retrospective,2026-09-03T23:00:00.000Z,Akron,Wake Forest,FBS vs FBS,fbs,fbs,False,16,38,22.0,22.53,-22.53,16.0,0.9205,-27.5,27.5,0.53,5.5,0.53,5.5,correct,correct,-4.97,Akron,right_side,Standard
